"","site","period","Model","Bias_adjust","TX","GWL","prob_occ","prop_change"
"157","mide","g1g2","CORDEX Europe",TRUE,40,1.5,0.0214592274678159,1.25
"158","mide","g1g2","CORDEX Europe",TRUE,40,2,0.0286123032904212,1.66666666666667
"159","mide","g1g2","CORDEX Europe",TRUE,40,3,0.0443490701001528,2.58333333333333
"160","mide","g1g2","CORDEX Europe",TRUE,40,4,0.0600858369098844,3.5
"161","mide","g2g3","CMIP6",FALSE,35,1,0.0646616541353374,1
"162","mide","g2g3","CMIP6",FALSE,35,1.5,0.0787779307423477,1.21830985915493
"163","mide","g2g3","CMIP6",FALSE,35,2,0.0910727523032921,1.40845070422535
"164","mide","g2g3","CMIP6",FALSE,35,3,0.107921211479401,1.66901408450704
"165","mide","g2g3","CMIP6",FALSE,35,4,0.121582124324895,1.88028169014085
"166","mide","g2g3","CMIP6",FALSE,40,1,0.00902255639097749,1
"167","mide","g2g3","CMIP6",FALSE,40,1.5,0.0125435540069687,1.39024390243902
"168","mide","g2g3","CMIP6",FALSE,40,2,0.0160645516229599,1.78048780487805
"169","mide","g2g3","CMIP6",FALSE,40,3,0.0246469833119385,2.73170731707317
"170","mide","g2g3","CMIP6",FALSE,40,4,0.0310287914909226,3.4390243902439
"171","mide","g2g3","CMIP6",TRUE,35,1,0.0646616541353374,1
"172","mide","g2g3","CMIP6",TRUE,35,1.5,0.0829824561403497,1.28333333333333
"173","mide","g2g3","CMIP6",TRUE,35,2,0.0969924812030061,1.5
"174","mide","g2g3","CMIP6",TRUE,35,3,0.123395989974936,1.90833333333333
"175","mide","g2g3","CMIP6",TRUE,35,4,0.149799498746865,2.31666666666667
"176","mide","g2g3","CMIP6",TRUE,40,1,0.00902255639097749,1
"177","mide","g2g3","CMIP6",TRUE,40,1.5,0.0126315789473685,1.4
"178","mide","g2g3","CMIP6",TRUE,40,2,0.0153383458646617,1.7
"179","mide","g2g3","CMIP6",TRUE,40,3,0.0223308270676693,2.475
"180","mide","g2g3","CMIP6",TRUE,40,4,0.0293233082706768,3.25
"181","mide","g2g3","CORDEX Europe",FALSE,35,1,0.0646616541353374,1
"182","mide","g2g3","CORDEX Europe",FALSE,35,1.5,0.0744763694951654,1.15178571428571
"183","mide","g2g3","CORDEX Europe",FALSE,35,2,0.0819817400644456,1.26785714285714
"184","mide","g2g3","CORDEX Europe",FALSE,35,3,0.101611170784102,1.57142857142857
"185","mide","g2g3","CORDEX Europe",FALSE,35,4,0.115467239527388,1.78571428571429
"186","mide","g2g3","CORDEX Europe",FALSE,40,1,0.00902255639097749,1
"187","mide","g2g3","CORDEX Europe",FALSE,40,1.5,0.0121337827326939,1.3448275862069
"188","mide","g2g3","CORDEX Europe",FALSE,40,2,0.0155561317085819,1.72413793103448
"189","mide","g2g3","CORDEX Europe",FALSE,40,3,0.0230230749287012,2.55172413793103
"190","mide","g2g3","CORDEX Europe",FALSE,40,4,0.0304900181488205,3.37931034482759
"191","mide","g2g3","CORDEX Europe",TRUE,35,1,0.0646616541353374,1
"192","mide","g2g3","CORDEX Europe",TRUE,35,1.5,0.0753495308519221,1.16528925619835
"193","mide","g2g3","CORDEX Europe",TRUE,35,2,0.0871061952401652,1.34710743801653
"194","mide","g2g3","CORDEX Europe",TRUE,35,3,0.109550736344993,1.69421487603306
"195","mide","g2g3","CORDEX Europe",TRUE,35,4,0.127720126763187,1.97520661157025
"196","mide","g2g3","CORDEX Europe",TRUE,40,1,0.00902255639097749,1
"197","mide","g2g3","CORDEX Europe",TRUE,40,1.5,0.0113969133359716,1.26315789473684
"198","mide","g2g3","CORDEX Europe",TRUE,40,2,0.0142461416699645,1.57894736842105
"199","mide","g2g3","CORDEX Europe",TRUE,40,3,0.0199445983379502,2.21052631578947
"200","mide","g2g3","CORDEX Europe",TRUE,40,4,0.0254056193114366,2.81578947368421
